Coral Name: | fd: 
1029 | 2.2449931526330764
Acropora grandus - 1056 | 2.126878903355611
Acropora hyacinthus - 1991 | 2.3236393418508987
Acropora muricata - 1358 | 1.9978112633488074
Acropora secale - 1600 | 1.9738131208586207
Acropora solitaryensis - 1496 | 2.341392355040599
Acropora solitaryensis - 2510 | 1.9946245676000023
Acropora vaughani - 1383 | 1.911830682330834
Echinopora gemmacea - 1577 | 2.2491235819408106
Fungia repanda - 1030 | 2.3361812910920174
Galaxea astreata - 1493 | 2.2423373973897323
Goniopora lobata - 1032 | 2.3150942716801755
Heliofungia actiniformis - 2490 | 2.4171216845918266
Herpolitha limax - 2485 | 2.215434294550331
Hydnophora exesa - 1579 | 2.2925260881038696
Hydonphora exesa - 1027 | 2.3774417169286988
Leptoria phrygia - 1556 | 2.1223825983296636
Leptoseris gardineri - 1538 | 2.140553911382064
Lobophyllia pachysepta - 1519 | 2.2942716296771404
Merulina ampliata - 1568 | 2.1232254894336475
Merulina scabricula - 1086 | 2.2548000452090613
Merulina scarbricula - 1487 | 2.1936609673146914
Millepora - 1381 | 2.015087611051521
Montipora aequituberculata - 1992 | 2.2339755768184357
Montipora informis - 1490 | 2.2695666232009946
Oulophyllia crispa - 1585 | 2.0899996893303414
Oxypora glabra - 1510 | 2.377481782723987
Oxypora glabra - 1599 | 2.0605944613106906
Pachyseris rugosa - 1536 | 2.2612268687697803
Pachyseris speciosa - 1539 (X) | 2.135360788086398
Pachyseris speciosa - 1572 | 2.228307589772356
Pavona cactus - 1543 | 2.1511561180270937
Pavona frondifera - 1564 | 2.0857684230946867
Pectinia paeonia - 1549 (X) | 2.146730830722221
Pectinia paeonia - 1573 | 2.259994959913094
Platygyra verweyi - 1993 | 2.199401511957985
Polyphyllia talpina - 2502 | 2.1546856655287425
Porites cylindrica - 1376 | 2.1842814076745913
Porites lutea - 1498 (X) | 2.196057400816661
Porites lutea - 1557 | 2.1301705668610182
Psammocora digitata - 1087 | 2.0464364483756006
Sandalolitha dentata - 1994 | 2.418480317080858
tenactis echinata - 2480 | 2.2975484614484305
Turbinaria mesenterina - 1485 (X) | 2.157485144217644
Turbinaria mesenterina - 2512 | 2.2397858313510257
Turbinaria peltata - 2505 | 1.991531350520218
