File Name: | Surface Area (mm^2): | Volume (mm^3): | OnlineFD: | FileFD: | Analysis time (seconds):
1029 | 145486.581495056 | 1571432.5638545707 | 2.7103998856546196 | 2.151719560050161 | 171.50645756721497
Acropora grandus - 1056 | 14714.563077191247 | 61957.25099385123 | 2.3974306899320506 | 2.0468069769386497 | 23.75531816482544
Acropora hyacinthus - 1991 | 89733.84144522446 | 308440.9533687854 | 2.696233837917561 | 2.3795765729629146 | 326.24959683418274
Acropora muricata - 1358 | 16573.827508219056 | 25527.636537628736 | 2.482487466812028 | 1.9548945894318397 | 65.78094029426575
Acropora secale - 1600 | 4513.191462074703 | 8402.400863579853 | 2.3828701918615915 | 2.054659745663936 | 8.971141815185547
Acropora solitaryensis - 1496 | 83163.57329893325 | 281654.6619111191 | 2.5268389618008125 | 2.2285647686225487 | 86.86307406425476
Acropora solitaryensis - 2510 | 27115.037891676093 | 117919.11168802748 | 2.7468554883971277 | 2.190500699055502 | 56.34525513648987
Acropora vaughani - 1383 | 8135.187037482593 | 13782.001029156243 | 2.391274856016946 | 1.935982667606309 | 20.90670943260193
Echinopora gemmacea - 1577 | 20739.939743831284 | 32737.625248800574 | 2.659787571229667 | 2.2493854100583537 | 182.53585648536682
Fungia repanda - 1030 | 154825.6876789992 | 653734.636656519 | 2.780685334743559 | 2.2706852262036694 | 127.40197968482971
Galaxea astreata - 1493 | 23703.118763445844 | 95307.0070266755 | 2.93512529830573 | 2.185216728552547 | 44.969139099121094
Goniopora lobata - 1032 | 121052.48704324517 | 1450374.2193343018 | 2.909477072768722 | 2.1188790297813362 | 200.8644254207611
Heliofungia actiniformis - 2490 | 18927.992247575625 | 23114.289084415752 | 3.1252020314908546 | 2.282340134962676 | 4.304441213607788
Herpolitha limax - 2485 | 21777.760575835375 | 56887.90002306053 | 2.6540937923425285 | 2.220126454597113 | 37.398648262023926
Hydnophora exesa - 1579 | 10060.218017864969 | 16788.765885022713 | 2.6280535624472106 | 2.2374943637288895 | 47.128894567489624
Hydonphora exesa - 1027 | 290443.75652993366 | 1614565.380107207 | 2.889902175175763 | 2.3057865264500235 | 202.69481706619263
Leptoria phrygia - 1556 | 11496.529868252304 | 52160.405999962524 | 2.8293230501357263 | 2.1311664995153285 | 227.7054042816162
Leptoseris gardineri - 1538 | 15574.700029519398 | 16385.77423340908 | 2.4266864540349387 | 2.045460732390757 | 33.96469235420227
Lobophyllia pachysepta - 1519 | 19863.25683567045 | 61805.87167282176 | 2.65838773948162 | 2.162607649996611 | 82.39579319953918
Merulina ampliata - 1568 | 21801.15183163212 | 40592.165983185456 | 2.6542923139926633 | 2.2540508327678586 | 66.51519799232483
Merulina scabricula - 1086 | 12859.183348962093 | 12593.181362779018 | 2.517400657663345 | 2.23859077041175 | 74.96942472457886
Merulina scarbricula - 1487 | 47203.943082108744 | 72506.95541243722 | 2.1956689695768614 | 2.2583683052486387 | 105.14863848686218
Millepora - 1381 | 8736.922936126464 | 22424.597495155966 | 2.3817063975501975 | 2.0689724883321525 | 32.62031674385071
Montipora aequituberculata - 1992 | 70811.0968762215 | 189830.15193241896 | 2.5815037771165934 | 2.191451729998591 | 4.346689701080322
Montipora informis - 1490 | 34857.5037790469 | 101720.45741331507 | 2.741876388435699 | 2.2041798792206566 | 44.208908557891846
Oulophyllia crispa - 1585 | 53509.19574947993 | 394838.83146577043 | 2.7000526804352813 | 2.1446573502699646 | 20.179457187652588
Oxypora glabra - 1510 | 31857.997539148975 | 22872.88792760743 | 2.750704136692675 | 2.254275035511654 | 111.96408033370972
Oxypora glabra - 1599 | 9052.958986494827 | 9604.86264341788 | 2.255741420045909 | 2.1137012578900185 | 28.24977469444275
Pachyseris rugosa - 1536 | 41884.23910623715 | 89548.87367658239 | 2.8412681990257647 | 2.230835704828091 | 22.678064346313477
Pachyseris speciosa - 1539 (X) | 8613.025667290703 | 13569.173643924392 | 2.490321182236599 | 2.183202509688757 | 43.461100578308105
Pachyseris speciosa - 1572 | 14955.46872408489 | 50186.27385964375 | 2.2878296076338804 | 2.1733083113278235 | 57.75649690628052
Pavona cactus - 1543 | 6411.117762523586 | 9392.405082564113 | 2.504553026905484 | 2.1925439391166632 | 121.5121898651123
Pavona frondifera - 1564 | 6552.715337017267 | 11407.663633063474 | 2.431636357145511 | 2.1318891719512347 | 40.33126187324524
Pectinia paeonia - 1549 (X) | 8179.784025834452 | 7664.704209952356 | 2.687479397460484 | 2.24871033301491 | 97.54045510292053
Pectinia paeonia - 1573 | 11215.603331307706 | 18591.52182459603 | 2.7672427246785425 | 2.2303028501595032 | 50.02855157852173
Platygyra verweyi - 1993 | 76358.91353178142 | 1257011.1891033698 | 2.7843170857165025 | 2.056033776268327 | 151.88183665275574
Polyphyllia talpina - 2502 | 146244.21204394018 | 746861.5073734117 | 2.6225444899410197 | 2.2545171378622175 | 108.24655747413635
Porites cylindrica - 1376 | 14532.162874174248 | 41703.72008644962 | 2.6714301421478623 | 2.0582114070357957 | 62.614001750946045
Porites lutea - 1498 (X) | 34889.2941814312 | 282475.26284574764 | 2.8240800033732576 | 2.0726393973691524 | 55.39103102684021
Porites lutea - 1557 | 9212.7213823485 | 53625.22756501713 | 2.886995376843156 | 2.074701645098494 | 45.57136559486389
Psammocora digitata - 1087 | 5470.550553456358 | 11188.928496647246 | 2.8479312645660784 | 2.145511395628569 | 60.813583850860596
Sandalolitha dentata - 1994 | 123438.19964335092 | 269771.9893963804 | 2.8951957140013382 | 2.3417209259591503 | 281.73358631134033
tenactis echinata - 2480 | 57539.11393516291 | 159319.0727970841 | 2.8171120785433343 | 2.21126329298955 | 4.904919862747192
Turbinaria mesenterina - 1485 (X) | 55789.43918513763 | 202102.6777511618 | 2.354141105515246 | 2.217578001633137 | 13.993301391601562
Turbinaria mesenterina - 2512 | 33935.19394265379 | 48941.032810309836 | 2.3766006593314293 | 2.247052958172122 | 5.229797840118408
Turbinaria peltata - 2505 | 29067.791620004427 | 114428.98129376996 | 3.206654074161346 | 2.1073042180689843 | 4.48877739906311
