File Name: | Surface Area (mm^2) | Volume (mm^3) | myFD | OnlineFD | FileFD | numVertices | boundLength | boundWidth | boundHeight | myX | myY
1029 | 145486.581495056 | 1571432.5638545707 | 2.2092822251492685 | 0 | 2.151719560050161 | 2684787 | 226.70244 | 212.71355 | 203.718192 | [1.5910176519314847, 2.012551890070546, 2.434086128209608, 2.8556203663486697, 3.2771546044877313, 3.698688842626793, 4.120223080765855, 4.541757318904916, 4.963291557043979, 5.3848257951830405, 5.806360033322101, 6.227894271461163, 6.6494285096002255, 7.070962747739287, 7.492496985878348, 7.91403122401741, 8.335565462156472, 8.757099700295534, 9.178633938434595, 9.600168176573657, 10.021702414712719, 10.44323665285178, 10.864770890990842, 11.286305129129904, 11.707839367268965, 12.129373605408027, 12.550907843547089, 12.972442081686152, 13.393976319825212, 13.815510557964274] | [0.0, 1.0986122886681098, 2.0794415416798357, 3.295836866004329, 4.356708826689592, 5.351858133476067, 6.373319789577012, 7.315218389752975, 8.220672170297252, 9.113388845899733, 9.986172919154736, 10.835316931890924, 11.659930676636616, 12.455714008350595, 13.216261651848306, 13.912208864783434, 14.41090873721087, 14.564303397616346, 14.653050680379682, 14.707000681416718, 14.741088034230161, 14.762784320104027, 14.776711555976089, 14.785790108035265, 14.791803412059835, 14.79567033692825, 14.798258094892356, 14.799933471037736, 14.801028800462133, 14.801758229795333]
Acropora grandus - 1056 | 14714.563077191247 | 61957.25099385123 | 2.069766011072675 | 0 | 2.0468069769386497 | 518480 | 97.78877 | 171.64353 | 57.38637 | [2.8579484602998555, 3.235795429184835, 3.613642398069815, 3.9914893669547955, 4.369336335839775, 4.747183304724755, 5.125030273609735, 5.502877242494715, 5.880724211379695, 6.258571180264675, 6.636418149149654, 7.014265118034635, 7.392112086919615, 7.769959055804595, 8.147806024689576, 8.525652993574555, 8.903499962459534, 9.281346931344515, 9.659193900229495, 10.037040869114474, 10.414887837999455, 10.792734806884434, 11.170581775769415, 11.548428744654395, 11.926275713539374, 12.304122682424353, 12.681969651309334, 13.059816620194315, 13.437663589079294, 13.815510557964274] | [1.0986122886681098, 2.302585092994046, 2.772588722239781, 3.4011973816621555, 4.442651256490317, 5.241747015059643, 6.154858094016418, 6.977281341630747, 7.784057002639929, 8.574895901544526, 9.347926034928745, 10.093487885257083, 10.81371996982632, 11.514424341093964, 12.167040714556416, 12.708355886818351, 12.87685662331685, 12.97367773700813, 13.035283634441436, 13.07606600364956, 13.102829833901858, 13.12054973374649, 13.132767070819693, 13.140880865537323, 13.146450928933389, 13.150159461922886, 13.15285572433992, 13.15467373046135, 13.155916134925068, 13.156679776352313]
Acropora hyacinthus - 1991 | 89733.84144522446 | 308440.9533687854 | 2.2298876123890814 | 0 | 2.3795765729629146 | 8079703 | 136.65272 | 130.07377 | 145.1335 | [2.0396535279335084, 2.445717563451811, 2.851781598970113, 3.2578456344884152, 3.663909670006717, 4.06997370552502, 4.476037741043322, 4.882101776561624, 5.288165812079926, 5.694229847598229, 6.100293883116531, 6.5063579186348335, 6.912421954153135, 7.318485989671438, 7.72455002518974, 8.130614060708043, 8.536678096226344, 8.942742131744646, 9.34880616726295, 9.75487020278125, 10.160934238299554, 10.566998273817855, 10.973062309336157, 11.37912634485446, 11.785190380372763, 12.191254415891065, 12.597318451409368, 13.003382486927668, 13.40944652244597, 13.815510557964274] | [0.0, 0.0, 2.1972245773362196, 3.044522437723423, 3.9889840465642745, 4.997212273764115, 6.054439346269371, 7.142036574706803, 8.177796683277778, 9.141526055975824, 10.038236953087743, 10.881042701514057, 11.68870902892443, 12.466465737744285, 13.204011564836026, 13.889833864074832, 14.52127085764156, 15.040424165148186, 15.498148559122056, 15.654883626464784, 15.745960381128873, 15.802269352613271, 15.837716315164071, 15.860659264530495, 15.875731435474535, 15.885517483287359, 15.89201391239639, 15.89634824957307, 15.899229812171727, 15.901142772823288]
Acropora muricata - 1358 | 16573.827508219056 | 25527.636537628736 | 1.972548792560751 | 0 | 1.9548945894318397 | 1945745 | 97.91139 | 119.08469 | 138.555946 | [2.3236923930056643, 2.7199619849007886, 3.1162315767959132, 3.5125011686910375, 3.908770760586162, 4.305040352481287, 4.701309944376411, 5.097579536271535, 5.49384912816666, 5.890118720061785, 6.286388311956909, 6.682657903852033, 7.078927495747158, 7.475197087642282, 7.871466679537407, 8.26773627143253, 8.664005863327656, 9.06027545522278, 9.456545047117904, 9.85281463901303, 10.249084230908153, 10.645353822803278, 11.041623414698403, 11.437893006593526, 11.834162598488652, 12.230432190383777, 12.6267017822789, 13.022971374174025, 13.41924096606915, 13.815510557964274] | [0.6931471805599453, 1.791759469228055, 2.1972245773362196, 3.295836866004329, 3.9889840465642745, 4.770684624465665, 5.493061443340548, 6.251903883165888, 7.086737934510577, 7.9287663216266955, 8.748463629942055, 9.572132202294377, 10.370674719272289, 11.155021194290347, 11.91813720765075, 12.65406070071823, 13.346376950140119, 13.964833603494654, 14.181776659350238, 14.290248587230709, 14.356671963598345, 14.399338285494022, 14.426342951632462, 14.444907706447431, 14.45688011634258, 14.464879817053287, 14.47028118896457, 14.473886153306681, 14.476311184109937, 14.477917048127944]
Acropora secale - 1600 | 4513.191462074703 | 8402.400863579853 | 1.9426079889418182 | 0 | 2.054659745663936 | 156217 | 30.25526 | 85.51795999999999 | 32.176230000000004 | [3.498085225323888, 3.853858512656315, 4.209631799988742, 4.56540508732117, 4.921178374653596, 5.276951661986024, 5.632724949318451, 5.988498236650878, 6.344271523983305, 6.700044811315732, 7.055818098648159, 7.411591385980587, 7.767364673313014, 8.12313796064544, 8.478911247977868, 8.834684535310295, 9.190457822642722, 9.54623110997515, 9.902004397307575, 10.257777684640002, 10.61355097197243, 10.969324259304857, 11.325097546637284, 11.680870833969712, 12.036644121302139, 12.392417408634566, 12.748190695966994, 13.10396398329942, 13.459737270631846, 13.815510557964274] | [1.9459101490553132, 2.772588722239781, 3.295836866004329, 4.007333185232471, 4.68213122712422, 5.327876168789581, 6.150602768446279, 6.840546529288687, 7.584773077612199, 8.30844552038576, 8.997270906233448, 9.67464026580524, 10.324005463270584, 10.921377736125875, 11.481816561942988, 11.64982243767105, 11.744251448691996, 11.817803830000262, 11.862306875641476, 11.89263506247868, 11.912298722041978, 11.926074310746237, 11.936400745213016, 11.943005133842313, 11.947929957655687, 11.951044902851647, 11.953648315822207, 11.955076023886246, 11.95652094843966, 11.957309958785837]
Acropora solitaryensis - 1496 | 83163.57329893325 | 281654.6619111191 | 2.3005506143406325 | 0 | 2.2285647686225487 | 2383758 | 131.83115 | 188.58703 | 147.39579 | [2.02623334189447, 2.4327601424486014, 2.8392869430027323, 3.2458137435568633, 3.6523405441109946, 4.058867344665126, 4.465394145219257, 4.871920945773388, 5.27844774632752, 5.684974546881651, 6.0915013474357815, 6.4980281479899125, 6.904554948544044, 7.311081749098176, 7.717608549652306, 8.124135350206437, 8.53066215076057, 8.9371889513147, 9.343715751868832, 9.750242552422963, 10.156769352977093, 10.563296153531226, 10.969822954085355, 11.376349754639488, 11.782876555193619, 12.18940335574775, 12.595930156301883, 13.002456956856014, 13.408983757410143, 13.815510557964274] | [0.0, 0.6931471805599453, 2.0794415416798357, 3.258096538021482, 4.2626798770413155, 5.313205979041787, 6.280395838960195, 7.271008538280992, 8.21959545417708, 9.125326997649227, 9.977341921106609, 10.799453120615684, 11.603442357122285, 12.381411546896244, 13.127486233143069, 13.821497599808398, 14.305182614325277, 14.448982572082347, 14.533795617822314, 14.586480445356848, 14.620383801031343, 14.642193818637756, 14.656377929864425, 14.665867876290628, 14.67211073164871, 14.676219232894843, 14.678874240547199, 14.680703344790006, 14.681842683306012, 14.682632894148473]
Acropora solitaryensis - 2510 | 27115.037891676093 | 117919.11168802748 | 2.0166522684435737 | 0 | 2.190500699055502 | 1668338 | 90.9622 | 105.82622 | 86.36110000000002 | [2.449217936038234, 2.8411590609322355, 3.233100185826237, 3.6250413107202384, 4.01698243561424, 4.408923560508241, 4.800864685402242, 5.192805810296244, 5.584746935190245, 5.976688060084247, 6.368629184978248, 6.76057030987225, 7.152511434766251, 7.544452559660252, 7.936393684554255, 8.328334809448256, 8.720275934342258, 9.112217059236258, 9.50415818413026, 9.896099309024262, 10.288040433918264, 10.679981558812264, 11.071922683706266, 11.463863808600268, 11.855804933494268, 12.24774605838827, 12.63968718328227, 13.031628308176273, 13.423569433070275, 13.815510557964274] | [2.0794415416798357, 2.1972245773362196, 3.044522437723423, 3.6635616461296463, 4.48863636973214, 5.262690188904886, 6.054439346269371, 6.90975328164481, 7.7706452341291765, 8.604654467186231, 9.416622566214981, 10.213872454394023, 10.997438996322042, 11.760012079740347, 12.494693027631739, 13.179911270942767, 13.786436987978515, 14.02325779192443, 14.132322942810683, 14.199747943810626, 14.243255614430154, 14.27099935485176, 14.289803101653403, 14.301972994873278, 14.310428726392365, 14.31595488202336, 14.319693971008878, 14.322141395905383, 14.32393590336557, 14.324948819788592]
Acropora vaughani - 1383 | 8135.187037482593 | 13782.001029156243 | 1.899544489509571 | 0 | 1.935982667606309 | 542931 | 74.58738 | 124.71985 | 67.84599 | [2.690514995405785, 3.074135532045733, 3.4577560686856805, 3.841376605325629, 4.224997141965576, 4.608617678605524, 4.9922382152454725, 5.375858751885421, 5.759479288525369, 6.143099825165316, 6.526720361805264, 6.910340898445212, 7.29396143508516, 7.677581971725108, 8.061202508365056, 8.444823045005004, 8.828443581644953, 9.2120641182849, 9.595684654924847, 9.979305191564796, 10.362925728204743, 10.746546264844692, 11.13016680148464, 11.513787338124587, 11.897407874764536, 12.281028411404483, 12.664648948044432, 13.04826948468438, 13.431890021324328, 13.815510557964274] | [1.3862943611198906, 2.1972245773362196, 2.5649493574615367, 3.367295829986474, 4.04305126783455, 4.795790545596741, 5.493061443340548, 6.214608098422191, 7.026426808699636, 7.806696372521179, 8.579604451537634, 9.339436945310593, 10.090921021216259, 10.819098053105419, 11.52092339608129, 12.178022904083416, 12.74420794219974, 12.91552861192616, 13.01585998669131, 13.080340662307554, 13.120543722836688, 13.148177312297308, 13.16681844431753, 13.17901210582117, 13.187332430849564, 13.193116299093816, 13.196706179126286, 13.199494774399444, 13.201137588568555, 13.202253458046338]
Echinopora gemmacea - 1577 | 20739.939743831284 | 32737.625248800574 | 2.197871953881647 | 0 | 2.2493854100583537 | 5239758 | 86.00041 | 66.87729 | 81.55421 | [2.7048958313615903, 3.08802047710651, 3.4711451228514303, 3.854269768596351, 4.237394414341271, 4.620519060086191, 5.003643705831111, 5.386768351576031, 5.769892997320952, 6.153017643065871, 6.536142288810791, 6.919266934555711, 7.302391580300632, 7.685516226045552, 8.068640871790473, 8.451765517535392, 8.834890163280312, 9.218014809025233, 9.601139454770152, 9.984264100515073, 10.367388746259993, 10.750513392004914, 11.133638037749833, 11.516762683494752, 11.899887329239673, 12.283011974984593, 12.666136620729514, 13.049261266474435, 13.432385912219354, 13.815510557964274] | [0.0, 1.6094379124341003, 2.0794415416798357, 2.9444389791664403, 4.007333185232471, 4.787491742782046, 5.723585101952381, 6.660575149839686, 7.563200592358071, 8.430545384690566, 9.257319373170178, 10.084975428581505, 10.900602225303203, 11.708171473387154, 12.49523986460555, 13.239273142982476, 13.943270326765546, 14.560097722152378, 15.048190928546775, 15.20592317740539, 15.298850637424385, 15.357431651866218, 15.396206550417647, 15.420250451971482, 15.436970712765664, 15.448083773450493, 15.455699765221423, 15.460903086427725, 15.4643410918515, 15.466764658544326]
Fungia repanda - 1030 | 154825.6876789992 | 653734.636656519 | 2.304729685539405 | 0 | 2.2706852262036694 | 3759520 | 159.04133000000002 | 206.40605 | 176.42185 | [1.8385911734327842, 2.2515883935890426, 2.6645856137453006, 3.077582833901559, 3.4905800540578173, 3.9035772742140753, 4.316574494370334, 4.729571714526592, 5.14256893468285, 5.555566154839108, 5.968563374995367, 6.381560595151625, 6.794557815307884, 7.207555035464142, 7.6205522556204, 8.033549475776658, 8.446546695932916, 8.859543916089175, 9.272541136245433, 9.685538356401691, 10.09853557655795, 10.511532796714208, 10.924530016870467, 11.337527237026725, 11.750524457182983, 12.163521677339242, 12.576518897495498, 12.989516117651757, 13.402513337808015, 13.815510557964274] | [0.0, 1.0986122886681098, 2.3978952727983707, 3.332204510175204, 4.30406509320417, 5.288267030694535, 6.338594078203183, 7.366445148327599, 8.297045149081827, 9.206332350578643, 10.113424276363055, 11.008959592551948, 11.895933626190695, 12.751945864013576, 13.544901901701781, 14.259478814145158, 14.749152680012008, 14.901695276621075, 14.98917002045525, 15.043118928599078, 15.076783216127051, 15.098400267254855, 15.112380633370245, 15.12183595869123, 15.127978061260261, 15.131937826291384, 15.134638147119263, 15.136387878828321, 15.137563420497695, 15.138370055359303]
