File Name: | myFD: | myX: | myY: 
1029 | 1.4542400559377096 | [5.858824377890912, 5.974393894928334, 6.089963411965758, 6.205532929003181, 6.321102446040604, 6.436671963078028, 6.55224148011545, 6.667810997152873, 6.783380514190297, 6.89895003122772, 7.014519548265143, 7.130089065302566, 7.245658582339989, 7.361228099377413, 7.476797616414835, 7.592367133452258, 7.707936650489682, 7.823506167527105, 7.9390756845645285, 8.054645201601952, 8.170214718639375, 8.285784235676799, 8.40135375271422, 8.516923269751643, 8.632492786789067, 8.74806230382649, 8.863631820863914, 8.979201337901337, 9.094770854938758, 9.210340371976182] | [10.093198407761937, 10.327676274642394, 10.559892944867965, 10.789958047997803, 11.018104415345954, 11.243986635335583, 11.471134250908422, 11.694838605040093, 11.91555990384511, 12.134410142316806, 12.349649042743987, 12.5652180354029, 12.77527094562094, 12.984709212105534, 13.188076208769669, 13.387269025204432, 13.580329849889555, 13.768646387876936, 13.95131686101676, 14.126812228507829, 14.29327028080122, 14.386306471871354, 14.441705105762647, 14.48836012874442, 14.52783369891747, 14.562291392133409, 14.590898797283124, 14.616802923389344, 14.638634132121073, 14.658077674579362]
Acropora grandus - 1056 | 1.5372421669798568 | [6.492289782075097, 6.586015664485479, 6.679741546895861, 6.773467429306243, 6.867193311716625, 6.960919194127008, 7.0546450765373905, 7.148370958947773, 7.242096841358155, 7.335822723768537, 7.42954860617892, 7.523274488589301, 7.617000370999684, 7.7107262534100665, 7.804452135820449, 7.898178018230831, 7.991903900641213, 8.085629783051596, 8.179355665461978, 8.27308154787236, 8.366807430282742, 8.460533312693125, 8.554259195103507, 8.647985077513889, 8.741710959924271, 8.835436842334653, 8.929162724745035, 9.02288860715542, 9.1166144895658, 9.210340371976182] | [9.050875597325156, 9.243001154215731, 9.431562077727694, 9.615071877730596, 9.806646201086572, 9.986264978993697, 10.167504297059917, 10.349742654652538, 10.528516479019784, 10.70866793677185, 10.887960160462653, 11.061641523912554, 11.237382744856811, 11.404136857893421, 11.580537383380248, 11.738633724606586, 11.902017258960447, 12.062317741885035, 12.218544547025495, 12.368059683598778, 12.51323376351944, 12.655761954086993, 12.727063428557207, 12.774469764472935, 12.814758830474982, 12.852730762357163, 12.88425084786713, 12.910822256820959, 12.936443353888086, 12.959627953885178]
Acropora hyacinthus - 1991 | 1.7350679745071786 | [6.083142315891923, 6.190976731618966, 6.29881114734601, 6.406645563073053, 6.514479978800097, 6.62231439452714, 6.7301488102541835, 6.837983225981227, 6.94581764170827, 7.053652057435314, 7.161486473162357, 7.269320888889401, 7.377155304616444, 7.484989720343488, 7.592824136070531, 7.7006585517975745, 7.808492967524618, 7.916327383251661, 8.024161798978705, 8.131996214705747, 8.239830630432792, 8.347665046159834, 8.455499461886879, 8.563333877613921, 8.671168293340966, 8.779002709068008, 8.886837124795052, 8.994671540522097, 9.10250595624914, 9.210340371976182] | [10.000069650382372, 10.229981600773298, 10.45754506469412, 10.676115744586301, 10.898811251698307, 11.115309471805464, 11.32943522553267, 11.542163827526945, 11.754018948007417, 11.963045213618825, 12.170248557309698, 12.376460781447093, 12.574980955776562, 12.77227526401753, 12.968302693527313, 13.161514857391818, 13.353146472947724, 13.541598574498229, 13.721049317708777, 13.893009417413166, 14.063388867322187, 14.230912135443399, 14.397065624504096, 14.56126394566451, 14.717258453557193, 14.846301431579475, 14.974901182124462, 15.101195875062915, 15.225452595675122, 15.347842778800873]
Acropora muricata - 1358 | 1.8771893152251293 | [6.225161748428, 6.3280989423434555, 6.43103613625891, 6.533973330174365, 6.636910524089819, 6.739847718005273, 6.842784911920728, 6.945722105836182, 7.0486592997516375, 7.151596493667092, 7.254533687582547, 7.357470881498001, 7.460408075413455, 7.56334526932891, 7.6662824632443645, 7.7692196571598195, 7.872156851075274, 7.975094044990728, 8.078031238906183, 8.180968432821638, 8.283905626737091, 8.386842820652546, 8.489780014568002, 8.592717208483455, 8.69565440239891, 8.798591596314365, 8.901528790229818, 9.004465984145273, 9.107403178060729, 9.210340371976182] | [8.626944055375356, 8.837536046107568, 9.054037377580782, 9.271435471335993, 9.47378098005493, 9.682466746602897, 9.89318465954023, 10.104876172047309, 10.312546196154422, 10.514013704407736, 10.720598627827538, 10.923886015661322, 11.126026926435902, 11.328473640767005, 11.52513067740859, 11.725477119671963, 11.921027094399523, 12.114483533956266, 12.306429162041535, 12.49445697134433, 12.683272196913958, 12.868776082403372, 13.049153770830152, 13.226049291699644, 13.398269383361454, 13.567009454286234, 13.7293533615131, 13.884642886393321, 14.029111119450695, 14.077778663962533]
Acropora secale - 1600 | 1.43403341998451 | [6.812358164587113, 6.89504720622122, 6.977736247855325, 7.060425289489431, 7.143114331123536, 7.2258033727576425, 7.308492414391748, 7.391181456025854, 7.47387049765996, 7.556559539294065, 7.639248580928172, 7.721937622562278, 7.804626664196383, 7.887315705830489, 7.970004747464595, 8.0526937890987, 8.135382830732807, 8.218071872366913, 8.30076091400102, 8.383449955635124, 8.46613899726923, 8.548828038903336, 8.631517080537442, 8.714206122171548, 8.796895163805655, 8.879584205439759, 8.962273247073865, 9.044962288707971, 9.127651330342077, 9.210340371976182] | [8.52912176228151, 8.677439540558334, 8.849944227235596, 9.009325172734973, 9.1689974084418, 9.320180837655714, 9.483796737163981, 9.638544967053836, 9.79031885443049, 9.939867696628879, 10.090299014602934, 10.241351677174485, 10.382543832613134, 10.527766853797273, 10.670419438719087, 10.807037463759448, 10.943428518789158, 11.072278675825483, 11.203542965539109, 11.332242564844782, 11.442663931929562, 11.519165952559682, 11.566191312594821, 11.605121710600951, 11.638306231301373, 11.665766716441675, 11.694296570228188, 11.71764431920622, 11.739495140412595, 11.759637094383818]
Acropora solitaryensis - 1496 | 1.5622776792968778 | [6.076432222872404, 6.184498021117362, 6.29256381936232, 6.400629617607278, 6.508695415852236, 6.616761214097193, 6.724827012342152, 6.832892810587109, 6.940958608832067, 7.049024407077025, 7.157090205321983, 7.265156003566941, 7.373221801811899, 7.481287600056857, 7.589353398301815, 7.697419196546773, 7.80548499479173, 7.913550793036688, 8.021616591281646, 8.129682389526604, 8.237748187771562, 8.34581398601652, 8.453879784261478, 8.561945582506436, 8.670011380751394, 8.778077178996352, 8.88614297724131, 8.994208775486268, 9.102274573731226, 9.210340371976182] | [9.948843254256925, 10.169767218727474, 10.389856535868129, 10.606733567773487, 10.825004603381865, 11.03876922556125, 11.250560200502237, 11.463609162414267, 11.673640268010125, 11.883122570993063, 12.08827398475172, 12.294806704517423, 12.498656434914647, 12.698036499254956, 12.89700988597029, 13.097689464639114, 13.282488744616037, 13.470036930104246, 13.652318460763484, 13.830048370018488, 14.000687201782284, 14.165801869810867, 14.265898679905792, 14.318133229321774, 14.362866355549624, 14.401016847006828, 14.434750130911567, 14.4636002243411, 14.488290731996038, 14.510198051632667]
Acropora solitaryensis - 2510 | 1.7453397181711032 | [6.287924519944286, 6.388697480359179, 6.489470440774072, 6.590243401188965, 6.691016361603858, 6.791789322018751, 6.892562282433643, 6.993335242848537, 7.09410820326343, 7.194881163678323, 7.295654124093216, 7.396427084508109, 7.497200044923002, 7.597973005337895, 7.698745965752788, 7.79951892616768, 7.900291886582574, 8.001064846997467, 8.101837807412359, 8.202610767827252, 8.303383728242146, 8.40415668865704, 8.504929649071931, 8.605702609486825, 8.706475569901718, 8.80724853031661, 8.908021490731503, 9.008794451146397, 9.10956741156129, 9.210340371976182] | [9.250618218474752, 9.458995712459116, 9.669283053862493, 9.871016012389166, 10.073314711748393, 10.276222836021374, 10.479370312935423, 10.680171330023866, 10.880440552576909, 11.078968285460816, 11.278872623147983, 11.473841542460681, 11.669253772045261, 11.862913098609106, 12.052297728428591, 12.24170519815888, 12.42751074338502, 12.611371073081239, 12.792477801031925, 12.966691541205131, 13.138028043370474, 13.30369110718244, 13.466121861876488, 13.620858491938641, 13.767181287566988, 13.880452435242818, 13.93837753733947, 13.983247102006745, 14.021948951865609, 14.056031051880831]
Acropora vaughani - 1383 | 1.7303945283108983 | [6.408573049628061, 6.505185715915927, 6.601798382203794, 6.69841104849166, 6.795023714779527, 6.891636381067393, 6.988249047355259, 7.084861713643125, 7.181474379930991, 7.278087046218857, 7.3746997125067235, 7.4713123787945905, 7.567925045082457, 7.664537711370323, 7.761150377658189, 7.857763043946055, 7.954375710233921, 8.050988376521788, 8.147601042809654, 8.24421370909752, 8.340826375385387, 8.437439041673253, 8.534051707961119, 8.630664374248985, 8.727277040536851, 8.823889706824717, 8.920502373112583, 9.01711503940045, 9.113727705688316, 9.210340371976182] | [8.338305731356565, 8.543250725735527, 8.729720590267258, 8.91972065553706, 9.115040192121858, 9.309189736018352, 9.495970340301833, 9.684086987500752, 9.874625007851026, 10.06010661197771, 10.24231415831108, 10.42901457915501, 10.613344346659021, 10.793146793409365, 10.972447867955744, 11.14980119735159, 11.327017484640853, 11.504530324181847, 11.673614721637069, 11.841905418690201, 12.00716428513182, 12.167773507595971, 12.322508106949448, 12.473650220127443, 12.619102402730606, 12.74212732334194, 12.793070110206813, 12.837868221335611, 12.877651390672026, 12.918294247132001]
Echinopora gemmacea - 1577 | 2.011424674898695 | [6.415763467605964, 6.512128188446317, 6.608492909286669, 6.704857630127021, 6.8012223509673735, 6.897587071807726, 6.993951792648079, 7.09031651348843, 7.186681234328783, 7.283045955169135, 7.3794106760094875, 7.47577539684984, 7.572140117690193, 7.668504838530545, 7.764869559370897, 7.861234280211249, 7.957599001051602, 8.053963721891954, 8.150328442732306, 8.246693163572658, 8.343057884413012, 8.439422605253364, 8.535787326093716, 8.632152046934069, 8.72851676777442, 8.824881488614773, 8.921246209455125, 9.017610930295477, 9.11397565113583, 9.210340371976182] | [9.00724451596575, 9.202207388745993, 9.418004736441933, 9.627668172626858, 9.831776704982127, 10.036750159040897, 10.241137666615815, 10.447322329909063, 10.651051893130637, 10.861054575722122, 11.063132223012522, 11.269617470912523, 11.47172840011989, 11.673972311485327, 11.874111219886633, 12.073152494630788, 12.270853324845087, 12.46473390849635, 12.658573999639767, 12.846499197756472, 13.03178199917309, 13.216647576524968, 13.397144083979162, 13.574386318614115, 13.74854776732523, 13.919595760756238, 14.082694726471074, 14.241325855847219, 14.397426132807936, 14.548921657349199]
Fungia repanda - 1030 | 1.599983870345076 | [5.982611138641561, 6.093912146687582, 6.205213154733603, 6.316514162779625, 6.427815170825647, 6.539116178871668, 6.650417186917689, 6.761718194963711, 6.873019203009732, 6.984320211055754, 7.095621219101775, 7.206922227147796, 7.318223235193818, 7.42952424323984, 7.5408252512858605, 7.652126259331882, 7.763427267377904, 7.874728275423926, 7.9860292834699464, 8.097330291515968, 8.20863129956199, 8.319932307608012, 8.431233315654032, 8.542534323700053, 8.653835331746075, 8.765136339792097, 8.876437347838118, 8.987738355884138, 9.09903936393016, 9.210340371976182] | [10.138362026726037, 10.381955260193992, 10.627697258547892, 10.866967167212742, 11.109158913497646, 11.35026534903553, 11.589062092296585, 11.82588778220081, 12.061578524036225, 12.292763971308878, 12.522112556636891, 12.750058346147318, 12.968946428330813, 13.18513533909418, 13.395784747685404, 13.602773916423528, 13.80126557829447, 13.995346528245868, 14.18231314376832, 14.362007526398038, 14.533315716368474, 14.68082878609732, 14.74143909661351, 14.79341591555689, 14.836429377336223, 14.87416783728296, 14.906367854259317, 14.934603348694703, 14.9576135968541, 14.978672617706675]
